site,name,link,salary_min,salary_max,salary_curr
https://hh.ru,Quantitative Researcher,https://spb.hh.ru/vacancy/40561445?query=python,250000.0,,руб.
https://hh.ru,Разработчик C++,https://spb.hh.ru/vacancy/42996453?query=python,80000.0,,руб.
https://hh.ru,Senior Python backend developer,https://spb.hh.ru/vacancy/42785580?query=python,,,
https://hh.ru,Python разработчик,https://spb.hh.ru/vacancy/41179197?query=python,,,
https://hh.ru,Python Developer (MB),https://spb.hh.ru/vacancy/42045010?query=python,,,
https://hh.ru,Инженер-программист 3/2/1 категории (Python),https://spb.hh.ru/vacancy/37377808?query=python,,,
https://hh.ru,Senior Python-разработчик,https://spb.hh.ru/vacancy/42007434?query=python,,,
https://hh.ru,Аналитик / Data Scientist,https://spb.hh.ru/vacancy/40894270?query=python,,,
https://hh.ru,Data scientist/программист-математик,https://spb.hh.ru/vacancy/42485552?query=python,,,
https://hh.ru,Data Science Specialist,https://spb.hh.ru/vacancy/42394415?query=python,,,
https://hh.ru,Data analyst (Skysmart),https://spb.hh.ru/vacancy/42888066?query=python,,,
https://hh.ru,Data Scientist (Middle/ Senior),https://spb.hh.ru/vacancy/40072273?query=python,,,
https://hh.ru,Data analyst,https://spb.hh.ru/vacancy/42174812?query=python,,,
https://hh.ru,Software Engineer (C/C++),https://spb.hh.ru/vacancy/39616852?query=python,,,
https://hh.ru,Automation QA Engineer (Python),https://spb.hh.ru/vacancy/39956933?query=python,,,
https://hh.ru,Python developer,https://spb.hh.ru/vacancy/42686828?query=python,,,
https://hh.ru,Senior data engineer,https://spb.hh.ru/vacancy/42992573?query=python,,,
https://hh.ru,Middle/Senior Backend developer Python,https://spb.hh.ru/vacancy/41043975?query=python,,,
https://hh.ru,Data Scientist,https://spb.hh.ru/vacancy/39307094?query=python,,,
https://hh.ru,Data Analyst,https://spb.hh.ru/vacancy/40964111?query=python,,,
https://hh.ru,Data Engineer,https://spb.hh.ru/vacancy/42991398?query=python,,,
https://hh.ru,Machine learning engineer,https://spb.hh.ru/vacancy/42141056?query=python,,,
https://hh.ru,DevOps Engineer,https://spb.hh.ru/vacancy/42694009?query=python,,,
https://hh.ru,Data Engineer (Cloud Team),https://spb.hh.ru/vacancy/38450281?query=python,,,
https://hh.ru,Team Lead Data Science,https://spb.hh.ru/vacancy/42936131?query=python,,,
https://hh.ru,Machine Learning Engineer,https://spb.hh.ru/vacancy/42885447?query=python,,,
https://hh.ru,Lead Data Scientist,https://spb.hh.ru/vacancy/40705025?query=python,,,
https://hh.ru,Middle/Senior Python-разработчик в SberDevices (команда Video Shopping),https://spb.hh.ru/vacancy/42389533?query=python,,,
https://hh.ru,"Intern Software Engineer, PowerStore, Networking",https://spb.hh.ru/vacancy/41706213?query=python,,,
https://hh.ru,Senior C++ Developer,https://spb.hh.ru/vacancy/42477731?query=python,140000.0,220000.0,руб.
https://hh.ru,Разработчик Python отдела сетевых функций облака,https://spb.hh.ru/vacancy/39599336?query=python,,,
https://hh.ru,Data Integration Engineer,https://spb.hh.ru/vacancy/41505603?query=python,,,
https://hh.ru,Machine Learning Engineer,https://spb.hh.ru/vacancy/41284453?query=python,80000.0,200000.0,руб.
https://hh.ru,Senior Golang Developer,https://spb.hh.ru/vacancy/42813510?query=python,,,
https://hh.ru,Инженер по автоматическому тестированию (Python),https://spb.hh.ru/vacancy/42858142?query=python,,,
https://hh.ru,Разработчик Python отдела DNS,https://spb.hh.ru/vacancy/42277767?query=python,150000.0,,руб.
https://hh.ru,Backend Junior Developer,https://spb.hh.ru/vacancy/42445545?query=python,,,
https://hh.ru,Middle Python Developer (Отдел автоматизации сетевых сервисов),https://spb.hh.ru/vacancy/42350447?query=python,,,
https://hh.ru,Backend Python Developer,https://spb.hh.ru/vacancy/42149618?query=python,80000.0,,руб.
https://hh.ru,Старший Data Scientist,https://spb.hh.ru/vacancy/42537170?query=python,,,
https://hh.ru,Старший Data Scientist,https://spb.hh.ru/vacancy/42864435?query=python,,,
https://hh.ru,Data scientist (Predictive Analytics),https://spb.hh.ru/vacancy/42676626?query=python,,,
https://hh.ru,Программист Python (удаленно),https://spb.hh.ru/vacancy/42828147?query=python,60000.0,,руб.
https://hh.ru,Senior Python developer (remote),https://spb.hh.ru/vacancy/42801216?query=python,,300000.0,руб.
https://hh.ru,Ведущий Python разработчик,https://spb.hh.ru/vacancy/39875431?query=python,,,
https://hh.ru,Data Analyst/ Data Scientist,https://spb.hh.ru/vacancy/42844319?query=python,,,
https://hh.ru,Начинающий backend-разработчик (Python),https://spb.hh.ru/vacancy/42768839?query=python,,,
https://hh.ru,Инженер-программист Python (web-сервис),https://spb.hh.ru/vacancy/42331802?query=python,,,
https://hh.ru,Team Lead (Python),https://spb.hh.ru/vacancy/42202442?query=python,,,
https://hh.ru,Python разработчик (Команда общих сервисов ядра облака),https://spb.hh.ru/vacancy/41976404?query=python,,,
https://hh.ru,Backend/C++ Developer,https://spb.hh.ru/vacancy/42382105?query=python,,,
https://hh.ru,QA Automation Engineer (Python),https://spb.hh.ru/vacancy/42830421?query=python,,,
https://hh.ru,Python (odoo) разработчик удаленно,https://spb.hh.ru/vacancy/42452606?query=python,100000.0,150000.0,руб.
